region_key,label_en,label_nl,capital_en,capital_nl
MA,Morocco,Marokko,Rabat,Rabat
DZ,Algeria,Algerije,Algiers,Algiers
TN,Tunisia,Tunesië,Tunis,Tunis
LY,Libya,Libië,Tripoli,Tripoli
EG,Egypt,Egypte,Cairo,Caïro
MR,Mauritania,Mauritanië,Nouakchott,Nouakchott
ML,Mali,Mali,Bamako,Bamako
NE,Niger,Niger,Niamey,Niamey
TD,Chad,Tsjaad,N'Djamena,N'Djamena
SD,Sudan,Soedan,Khartoum,Khartoem
SS,South Sudan,Zuid-Soedan,Juba,Juba
ER,Eritrea,Eritrea,Asmara,Asmara
ET,Ethiopia,Ethiopië,Addis Ababa,Addis Abeba
DJ,Djibouti,Djibouti,Djibouti,Djibouti
SO,Somalia,Somalië,Mogadishu,Mogadishu
SN,Senegal,Senegal,Dakar,Dakar
GM,Gambia,Gambia,Banjul,Banjul
GW,Guinea-Bissau,Guinee-Bissau,Bissau,Bissau
GN,Guinea,Guinee,Conakry,Conakry
SL,Sierra Leone,Sierra Leone,Freetown,Freetown
LR,Liberia,Liberia,Monrovia,Monrovia
CI,Ivory Coast,Ivoorkust,Yamoussoukro,Yamoussoukro
GH,Ghana,Ghana,Accra,Accra
TG,Togo,Togo,Lomé,Lomé
BJ,Benin,Benin,Porto-Novo,Porto-Novo
NG,Nigeria,Nigeria,Abuja,Abuja
BF,Burkina Faso,Burkina Faso,Ouagadougou,Ouagadougou
CM,Cameroon,Kameroen,Yaoundé,Yaoundé
CF,Central African Republic,Centraal-Afrikaanse Republiek,Bangui,Bangui
GQ,Equatorial Guinea,Equatoriaal-Guinea,Malabo,Malabo
GA,Gabon,Gabon,Libreville,Libreville
CG,Republic of the Congo,Republiek Congo,Brazzaville,Brazzaville
CD,DR Congo,DR Congo,Kinshasa,Kinshasa
UG,Uganda,Oeganda,Kampala,Kampala
KE,Kenya,Kenia,Nairobi,Nairobi
RW,Rwanda,Rwanda,Kigali,Kigali
BI,Burundi,Burundi,Gitega,Gitega
TZ,Tanzania,Tanzania,Dodoma,Dodoma
AO,Angola,Angola,Luanda,Luanda
ZM,Zambia,Zambia,Lusaka,Lusaka
MW,Malawi,Malawi,Lilongwe,Lilongwe
MZ,Mozambique,Mozambique,Maputo,Maputo
ZW,Zimbabwe,Zimbabwe,Harare,Harare
BW,Botswana,Botswana,Gaborone,Gaborone
NA,Namibia,Namibië,Windhoek,Windhoek
ZA,South Africa,Zuid-Afrika,Pretoria,Pretoria
MG,Madagascar,Madagaskar,Antananarivo,Antananarivo
EH,Western Sahara,Westelijke Sahara,,
